Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Carl Achille,Male,Non-white,NY,5,NY-5,Democrat,Challenger,9.7,0,,,,,,37,85.7,12.7,0.439352268,14695,14458,No
Gregory Meeks,Male,Non-white,NY,5,NY-5,Democrat,Incumbent,81.5,1,,,100,,1,37,85.7,12.7,0.439352268,1015718,939735,Yes
Grace Meng,Female,Non-white,NY,6,NY-6,Democrat,Incumbent,100,1,,,90.9,,1,16,65.1,32.1,0.423239763,1320171,1378881,Yes
Nydia Velazquez,Female,Non-white,NY,7,NY-7,Democrat,Incumbent,100,1,,,93.4,,1,38,86.9,10.4,0.46720067,997772,848134,Yes
Hakeem Jeffries,Male,Non-white,NY,8,NY-8,Democrat,Incumbent,100,1,,,94.2,,1,36,84.6,13.5,0.445557647,1722998,1383358,Yes
Adem Bunkeddeko,Male,Non-white,NY,9,NY-9,Democrat,Challenger,48.1,0,,,,,,34,83.5,14.4,0.477690845,267140,291007,No
Yvette Clarke,Female,Non-white,NY,9,NY-9,Democrat,Incumbent,51.9,1,,,89.3,,1,34,83.5,14.4,0.477690845,1059655,1072113,Yes
Lutchi Gayot,Male,Non-white,NY,9,NY-9,Republican,Challenger,100,1,,,10.3,,0,34,83.5,14.4,0.477690845,2500,2500,No
Jerrold Nadler,Male,White,NY,10,NY-10,Democrat,Incumbent,100,1,,,82.1,,1,26,78.3,18.8,0.471721736,1457310,1476694,Yes
Naomi Levin,Female,White,NY,10,NY-10,Republican,Challenger,100,1,,,17.9,,0,26,78.3,18.8,0.471721736,81414,78681,No
Omar Vaid,Male,Non-white,NY,11,NY-11,Democrat,Challenger,8.7,0,,,,,,-3,43.8,53.6,0.303898026,202927,191912,No
Radhakrishna Mohan,Male,Non-white,NY,11,NY-11,Democrat,Challenger,3.9,0,,,,,,-3,43.8,53.6,0.303898026,118612,116680,No
Michael DeVito,Male,Non-white,NY,11,NY-11,Democrat,Challenger,19,0,,,,,,-3,43.8,53.6,0.303898026,47679,47651,No
Max Rose,Male,White,NY,11,NY-11,Democrat,Challenger,64.7,1,,,53,,1,-3,43.8,53.6,0.303898026,4585554,4307651,No
Paul Sperling,Male,White,NY,11,NY-11,Democrat,Challenger,2.4,0,,,,,,-3,43.8,53.6,0.303898026,2500,2500,No
Zach Emig,Male,White,NY,11,NY-11,Democrat,Challenger,1.3,0,,,,,,-3,43.8,53.6,0.303898026,49985,49985,No
Dan Donovan,Male,White,NY,11,NY-11,Republican,Incumbent,63.9,1,,,46.6,,0,-3,43.8,53.6,0.303898026,2580458,2643131,Yes
Michael Grimm,Male,White,NY,11,NY-11,Republican,Challenger,36.1,0,,,,,,-3,43.8,53.6,0.303898026,425420,447767,Yes
Suraj Patel,Male,Non-white,NY,12,NY-12,Democrat,Challenger,41.2,0,,,,,,31,83.3,13.5,0.54414008,2500,2500,No
Carolyn Maloney,Female,White,NY,12,NY-12,Democrat,Incumbent,58.8,1,,,86.4,,1,31,83.3,13.5,0.54414008,2051252,2349680,Yes
Eliot Rabin,Male,White,NY,12,NY-12,Republican,Challenger,100,1,,,12.1,,0,31,83.3,13.5,0.54414008,33623,33357,No
Adriano Espaillat,Male,Non-white,NY,13,NY-13,Democrat,Incumbent,100,1,,,94.6,,1,43,92.3,5.4,0.56489177,808512,571543,Yes
Jineea Butler,Female,Non-white,NY,13,NY-13,Republican,Challenger,100,1,,,5.4,,0,43,92.3,5.4,0.56489177,5928,5826,No
Alexandria Ocasio-Cortez,Female,Non-white,NY,14,NY-14,Democrat,Challenger,57.5,1,,,78.2,,1,29,77.7,19.8,0.485154069,2014746,1562487,No
Joseph Crowley,Male,White,NY,14,NY-14,Democrat,Incumbent,42.5,0,,,,,,29,77.7,19.8,0.485154069,3179111,4228717,Yes
Anthony Pappas,Male,White,NY,14,NY-14,Republican,Challenger,100,1,,,13.6,,0,29,77.7,19.8,0.485154069,8161,2500,No
Jose E. Serrano,Male,Non-white,NY,15,NY-15,Democrat,Incumbent,100,1,,,96,,1,44,93.8,4.9,0.521719487,259991,237215,Yes
Jason Gonzalez,Male,,NY,15,NY-15,Republican,Challenger,100,1,,,4,,0,44,93.8,4.9,0.521719487,259989,231921,No
Joyce Briscoe,Female,Non-white,NY,16,NY-16,Democrat,Challenger,5.8,0,,,,,,24,75.1,22.5,0.405298235,2500,2500,No
Derickson Lawrence,Male,Non-white,NY,16,NY-16,Democrat,Challenger,4.3,0,,,,,,24,75.1,22.5,0.405298235,2500,2500,No
Jonathan Lewis,Male,White,NY,16,NY-16,Democrat,Challenger,16.3,0,,,,,,24,75.1,22.5,0.405298235,855177,855177,No
Eliot Engel,Male,White,NY,16,NY-16,Democrat,Incumbent,73.7,1,,,100,,1,24,75.1,22.5,0.405298235,1547470,1985058,Yes
Nita Lowey,Female,White,NY,17,NY-17,Democrat,Incumbent,100,1,,,88,,1,7,58.6,38.4,0.292667928,1593808,1299380,Yes
Sean Patrick Maloney,Male,White,NY,18,NY-18,Democrat,Incumbent,100,1,,,55.5,,1,-1,47.1,49,0.182627792,2654904,4324484,Yes
James O'Donnell,Male,White,NY,18,NY-18,Republican,Challenger,100,1,,,44.5,,0,-1,47.1,49,0.182627792,362001,269967,Yes
Antonio Delgado,Male,Non-white,NY,19,NY-19,Democrat,Challenger,22,1,,,51.4,,1,-2,44,50.8,0.116902487,9110081,9024906,No
Brian Flynn,Male,White,NY,19,NY-19,Democrat,Challenger,13.2,0,,,,,,-2,44,50.8,0.116902487,1568552,1565423,No
David Clegg,Male,White,NY,19,NY-19,Democrat,Challenger,11.1,0,,,,,,-2,44,50.8,0.116902487,382803,356759,No
Erin Collier,Female,White,NY,19,NY-19,Democrat,Challenger,4.9,0,,,,,,-2,44,50.8,0.116902487,207732,207732,No
Gareth Rhodes,Male,White,NY,19,NY-19,Democrat,Challenger,17.9,0,,,,,,-2,44,50.8,0.116902487,771902,769273,No
Jeff Beals,Male,White,NY,19,NY-19,Democrat,Challenger,13.2,0,,,,,,-2,44,50.8,0.116902487,322516,311599,No
Pat Ryan,Male,White,NY,19,NY-19,Democrat,Challenger,17.7,0,,,,,,-2,44,50.8,0.116902487,1437404,1392826,No
John Faso,Male,White,NY,19,NY-19,Republican,Incumbent,100,1,,,46.2,,0,-2,44,50.8,0.116902487,3946101,3834887,Yes
Paul Tonko,Male,White,NY,20,NY-20,Democrat,Incumbent,100,1,,,66.5,,1,7,54,40.5,0.207925152,1334574,1193304,Yes
Francis Vitollo,Male,White,NY,20,NY-20,Republican,Challenger,100,1,,,33.5,,0,7,54,40.5,0.207925152,2500,2500,No
Don Boyajian,Male,White,NY,21,NY-21,Democrat,Challenger,0.6,0,,,,,,-4,40,53.9,0.095584352,483021,483021,No
Dylan Ratigan,Male,White,NY,21,NY-21,Democrat,Challenger,12,0,,,,,,-4,40,53.9,0.095584352,164989,164989,No
Emily Martz,Female,White,NY,21,NY-21,Democrat,Challenger,10.4,0,,,,,,-4,40,53.9,0.095584352,240070,240070,No
Katie Wilson,Female,White,NY,21,NY-21,Democrat,Challenger,11.7,0,,,,,,-4,40,53.9,0.095584352,264980,273230,No
Patrick Nelson,Male,White,NY,21,NY-21,Democrat,Challenger,9.2,0,,,,,,-4,40,53.9,0.095584352,71010,70712,No
Tedra Cobb,Female,White,NY,21,NY-21,Democrat,Challenger,56.2,1,,,42.4,,0,-4,40,53.9,0.095584352,1538958,1489819,Yes
Elise Stefanik,Female,White,NY,21,NY-21,Republican,Incumbent,100,1,,,56.1,,1,-4,40,53.9,0.095584352,2788771,2810249,Yes
Anthony Brindisi,Male,White,NY,22,NY-22,Democrat,Challenger,100,1,,,50.9,,1,-6,39.3,54.8,0.115295677,4591805,4528959,Yes
Claudia Tenney,Female,White,NY,22,NY-22,Republican,Incumbent,100,1,,,49.1,,0,-6,39.3,54.8,0.115295677,3230992,3143743,Yes
Eddie Sundquist,Male,White,NY,23,NY-23,Democrat,Challenger,6.54,0,,,,,,-6,39.7,54.5,0.100076112,115290,113410,No
Ian Golden,Male,White,NY,23,NY-23,Democrat,Challenger,13.37,0,,,,,,-6,39.7,54.5,0.100076112,114328,89012,No
Linda Andrei,Female,White,NY,23,NY-23,Democrat,Challenger,15.33,0,,,,,,-6,39.7,54.5,0.100076112,267671,267661,No
Max Della Pia,Male,White,NY,23,NY-23,Democrat,Challenger,31.89,0,,,,,,-6,39.7,54.5,0.100076112,162446,162542,No
Tracy Mitrano,Female,White,NY,23,NY-23,Democrat,Challenger,32.87,1,,,45.8,,0,-6,39.7,54.5,0.100076112,1750879,1743839,No
Thomas Reed,Male,White,NY,23,NY-23,Republican,Incumbent,100,1,,,54.2,,1,-6,39.7,54.5,0.100076112,3435230,3408784,Yes
Juanita Perez Williams,Female,Non-white,NY,24,NY-24,Democrat,Challenger,37.4,0,,,,,,3,48.9,45.3,0.149277082,157732,157732,No
Dana Balter,Female,White,NY,24,NY-24,Democrat,Challenger,62.6,1,,,47.4,,0,3,48.9,45.3,0.149277082,2713918,2658184,No
John Katko,Male,White,NY,24,NY-24,Republican,Incumbent,100,1,,,52.6,,1,3,48.9,45.3,0.149277082,2762653,2938547,Yes
Adam McFadden,Male,Non-white,NY,25,NY-25,Democrat,Open,17.3,0,,,,,,8,55.5,39.1,0.206280619,2500,2500,Yes
Rachel Barnhart,Female,Non-white,NY,25,NY-25,Democrat,Open,19.8,0,,,,,,8,55.5,39.1,0.206280619,34613,24686,No
Robin Wilt,Female,Non-white,NY,25,NY-25,Democrat,Open,17.2,0,,,,,,8,55.5,39.1,0.206280619,76689,76214,Yes
Joseph Morelle,Male,White,NY,25,NY-25,Democrat,Open,45.8,1,,,59,,1,8,55.5,39.1,0.206280619,1851508,1767147,Yes
Jim Maxwell,Male,White,NY,25,NY-25,Republican,Open,100,1,,,41,,0,8,55.5,39.1,0.206280619,989338,987081,No
Brian Higgins,Male,White,NY,26,NY-26,Democrat,Incumbent,100,1,,,73.3,,1,11,57.6,38,0.229108358,1069088,881375,Yes
Renee Zeno,Female,White,NY,26,NY-26,Republican,Challenger,100,1,,,26.7,,0,11,57.6,38,0.229108358,2500,2500,No
Nate McMurray,Male,White,NY,27,NY-27,Democrat,Challenger,100,1,,,48.8,,0,-11,35.2,59.7,0.099389263,1317234,1130501,Yes
Chris Collins,Male,White,NY,27,NY-27,Republican,Incumbent,100,1,,,49.1,,1,-11,35.2,59.7,0.099389263,1316753,1805621,Yes
Aftab Pureval ,Male,Non-white,OH,1,OH-1,Democrat,Challenger,100,1,,,46.9,,0,-5,44.6,51.2,,4069489,3985073,Yes
Steve Chabot,Male,White,OH,1,OH-1,Republican,Incumbent,83.2,1,,,51.32,,1,-5,44.6,51.2,,1904987,2991574,Yes
Samuel Ronan,Male,White,OH,1,OH-1,Republican,Challenger,16.8,0,,,,,,-5,44.6,51.2,,3852,5772,No
Janet Everhard,Female,White,OH,2,OH-2,Democrat,Challenger,34.4,0,,,,,,-9,39.7,55.8,0.117917989,57777,54766,No
Jill Schiller,Female,White,OH,2,OH-2,Democrat,Challenger,54.2,1,,,41.2,,0,-9,39.7,55.8,0.117917989,605948,580000,No
William Smith,Male,White,OH,2,OH-2,Democrat,Challenger,11.4,0,,,,,,-9,39.7,55.8,0.117917989,2500,2500,No
Brad Wenstrup,Male,White,OH,2,OH-2,Republican,Incumbent,100,1,,,57.55,,1,-9,39.7,55.8,0.117917989,1450918,1568763,Yes
Joyce Beatty,Female,Non-white,OH,3,OH-3,Democrat,Incumbent,100,1,,,73.61,,1,19,67,28.6,0.263060718,1072635,709254,Yes
Jim Burgess,Male,White,OH,3,OH-3,Republican,Challenger,93.2,1,,,26.37,,0,19,67,28.6,0.263060718,2500,2500,No
Abdulkadir Haji,Male,,OH,3,OH-3,Republican,Challenger,6.8,0,,,,,,19,67,28.6,0.263060718,2500,2500,No
Cody Slatzer-Rose,Male,White,OH,4,OH-4,Democrat,Challenger,16.2,0,,,,,,-14,30.7,64.3,0.075827925,2500,2500,No
Janet Garrett,Female,White,OH,4,OH-4,Democrat,Challenger,83.8,1,,,34.74,,0,-14,30.7,64.3,0.075827925,696211,697339,No
Joseph Miller,Male,White,OH,4,OH-4,Republican,Challenger,14.7,0,,,,,,-14,30.7,64.3,0.075827925,2500,2500,No
Jim Jordan,Male,White,OH,4,OH-4,Republican,Incumbent,85.3,1,,,65.26,,1,-14,30.7,64.3,0.075827925,1108223,1594963,Yes
James Neu,Male,White,OH,5,OH-5,Democrat,Challenger,26.7,0,,,,,,-11,34.6,59.7,0.085239079,2500,2500,No
Michael Galbraith,Male,White,OH,5,OH-5,Democrat,Challenger,73.3,1,,,35.14,,0,-11,34.6,59.7,0.085239079,212610,211954,No
Bob Latta,Male,White,OH,5,OH-5,Republican,Incumbent,73.8,1,,,62.26,,1,-11,34.6,59.7,0.085239079,1573523,1746526,Yes
Robert Kreienkamp,Male,White,OH,5,OH-5,Republican,Challenger,9.5,0,,,,,,-11,34.6,59.7,0.085239079,1572914,1734994,No
Todd Wolfrum,Male,White,OH,5,OH-5,Republican,Challenger,16.7,0,,,,,,-11,34.6,59.7,0.085239079,25627,23455,No
Shawna Roberts,Female,White,OH,6,OH-6,Democrat,Challenger,74.5,1,,,30.75,,0,-16,26.7,69.3,0.070544698,22333,25481,No
Werner Lange,Male,White,OH,6,OH-6,Democrat,Challenger,25.5,0,,,,,,-16,26.7,69.3,0.070544698,2500,2500,No
Bill Johnson,Male,White,OH,6,OH-6,Republican,Incumbent,84.1,1,,,69.25,,1,-16,26.7,69.3,0.070544698,1877506,1647136,Yes
Robert Blazek,Male,White,OH,6,OH-6,Republican,Challenger,15.9,0,,,,,,-16,26.7,69.3,0.070544698,2500,2500,Yes
Ken Harbaugh,Male,White,OH,7,OH-7,Democrat,Challenger,80.3,1,,,41.26,,0,-12,32.8,62.5,0.080256586,3022204,2988409,No
Patrick Pikus,Male,White,OH,7,OH-7,Democrat,Challenger,19.7,0,,,,,,-12,32.8,62.5,0.080256586,5525,4529,No
Bob Gibbs,Male,White,OH,7,OH-7,Republican,Incumbent,78,1,,,58.74,,1,-12,32.8,62.5,0.080256586,1055843,1837693,Yes
Terry Robertson,Male,White,OH,7,OH-7,Republican,Challenger,10.6,0,,,,,,-12,32.8,62.5,0.080256586,6219,6274,No
Patrick Quinn,Male,,OH,7,OH-7,Republican,Challenger,11.4,0,,,,,,-12,32.8,62.5,0.080256586,2500,2500,No
Vanessa Enoch,Female,Non-white,OH,8,OH-8,Democrat,Challenger,57.8,1,,,33.42,,0,-17,30.6,65.1,0.093835237,54754,36120,No
Bill Ebben,Male,White,OH,8,OH-8,Democrat,Challenger,12.1,0,,,,,,-17,30.6,65.1,0.093835237,2500,2500,No
Matthew Guyette,Male,White,OH,8,OH-8,Democrat,Challenger,13.7,0,,,,,,-17,30.6,65.1,0.093835237,,,No
Ted Jones,Male,White,OH,8,OH-8,Democrat,Challenger,16.3,0,,,,,,-17,30.6,65.1,0.093835237,,,No
Warren Davidson,Male,White,OH,8,OH-8,Republican,Incumbent,100,1,,,66.58,,1,-17,30.6,65.1,0.093835237,663970,544835,Yes
Joshua Garcia,Male,Non-white,OH,9,OH-9,Democrat,Challenger,14.4,0,,,,,,14,58.7,36.5,0.19608502,2500,2500,No
Marcy Kaptur,Female,White,OH,9,OH-9,Democrat,Incumbent,85.6,1,,,67.79,,1,14,58.7,36.5,0.19608502,769751,658102,Yes
Keith Colton,Male,White,OH,9,OH-9,Republican,Challenger,29.8,0,,,,,,14,58.7,36.5,0.19608502,7000,6888,No
Steven Kraus,Male,White,OH,9,OH-9,Republican,Challenger,49.5,1,,,32.19,,0,14,58.7,36.5,0.19608502,40864,40244,Yes
W. Benjamin Franklin,Male,White,OH,9,OH-9,Republican,Challenger,20.7,0,,,,,,14,58.7,36.5,0.19608502,2500,2500,No
Michael Milisits,Male,White,OH,10,OH-10,Democrat,Challenger,7.3,0,,,,,,-4,44,51.3,0.154509944,9152,8086,No
Robert Klepinger,Male,White,OH,10,OH-10,Democrat,Challenger,25.6,0,,,,,,-4,44,51.3,0.154509944,2500,2500,No
Theresa Gasper,Female,White,OH,10,OH-10,Democrat,Challenger,67,1,,,42.16,,0,-4,44,51.3,0.154509944,1205735,1190132,No
John Anderson,Male,White,OH,10,OH-10,Republican,Challenger,11.5,0,,,,,,-4,44,51.3,0.154509944,2500,2500,No
John Mitchel,Male,White,OH,10,OH-10,Republican,Challenger,8.7,0,,,,,,-4,44,51.3,0.154509944,2500,2500,No
Michael R. Turner,Male,White,OH,10,OH-10,Republican,Incumbent,79.8,1,,,55.92,,1,-4,44,51.3,0.154509944,1225721,1396369,Yes
Marcia L. Fudge,Female,Non-white,OH,11,OH-11,Democrat,Incumbent,100,1,,,82.24,,1,32,80.5,17,0.275761073,763186,590868,Yes
Beverly Goldstein,Female,White,OH,11,OH-11,Republican,Challenger,52.5,1,,,17.75,,0,32,80.5,17,0.275761073,16018,4609,No
Gregory Dunham,Male,White,OH,11,OH-11,Republican,Challenger,47.5,0,,,,,,32,80.5,17,0.275761073,8392,8392,No
Danny O'Connor,Male,White,OH,12,OH-12,Democrat,Open,40.5,1,,,47.2,,0,-7,41.9,53.2,0.136410428,8283200,8230360,Yes
Doug Wilson,Male,White,OH,12,OH-12,Democrat,Open,3.8,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,Yes
Ed Albertson,Male,White,OH,12,OH-12,Democrat,Open,7.8,0,,,,,,-7,41.9,53.2,0.136410428,27509,31997,No
Jackie Patton,Female,White,OH,12,OH-12,Democrat,Open,14,0,,,,,,-7,41.9,53.2,0.136410428,31313,31205,No
John Peters,Male,White,OH,12,OH-12,Democrat,Open,1.5,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,No
John Russell,Male,White,OH,12,OH-12,Democrat,Open,16.3,0,,,,,,-7,41.9,53.2,0.136410428,128377,126915,No
Zach Scott,Male,White,OH,12,OH-12,Democrat,Open,16.2,0,,,,,,-7,41.9,53.2,0.136410428,58967,52880,Yes
Carol O'Brien,Female,White,OH,12,OH-12,Republican,Open,6.5,0,,,,,,-7,41.9,53.2,0.136410428,222484,222484,No
John Adams,Male,White,OH,12,OH-12,Republican,Open,0.9,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,Yes
Jon Halverstadt,Male,White,OH,12,OH-12,Republican,Open,1.7,0,,,,,,-7,41.9,53.2,0.136410428,89466,89466,No
Kevin Bacon,Male,White,OH,12,OH-12,Republican,Open,14.3,0,,,,,,-7,41.9,53.2,0.136410428,279096,279096,Yes
Larry Cohen,Male,White,OH,12,OH-12,Republican,Open,1.2,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,No
Troy Balderson,Male,White,OH,12,OH-12,Republican,Open,28.7,1,,,51.42,,1,-7,41.9,53.2,0.136410428,2529467,2488086,No
Melanie Leneghan,Female,White,OH,12,OH-12,Republican,Open,27.6,0,,,,,,-7,41.9,53.2,0.136410428,504647,504431,Yes
Mick Shoemaker,Male,White,OH,12,OH-12,Republican,Open,1.2,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,No
Pat Manley,Male,White,OH,12,OH-12,Republican,Open,1.2,0,,,,,,-7,41.9,53.2,0.136410428,2500,2500,No
Tim Kane,Male,White,OH,12,OH-12,Republican,Open,16.9,0,,,,,,-7,41.9,53.2,0.136410428,463936,463936,No
Tim Ryan,Male,White,OH,13,OH-13,Democrat,Incumbent,87.2,1,,,60.99,,1,7,51.1,44.6,0.153964888,1586553,1588405,Yes
Robert Crow,Male,White,OH,13,OH-13,Democrat,Challenger,5.1,0,,,,,,7,51.1,44.6,0.153964888,2500,2500,No
John Luchansky,Male,,OH,13,OH-13,Democrat,Challenger,7.8,0,,,,,,7,51.1,44.6,0.153964888,2500,2500,No
Chris DePizzo,Male,White,OH,13,OH-13,Republican,Challenger,100,1,,,39.01,,0,7,51.1,44.6,0.153964888,93796,91711,No
Betsy Rader ,Female,White,OH,14,OH-14,Democrat,Challenger,100,1,,,44.75,,0,-5,42.1,53.6,0.119898529,2225262,2184656,No
David Joyce,Male,White,OH,14,OH-14,Republican,Incumbent,100,1,,,55.25,,1,-5,42.1,53.6,0.119898529,2547525,2662393,Yes
Rick Neal,Male,White,OH,15,OH-15,Democrat,Challenger,63.6,1,,,39.7,,0,-7,39.9,55.3,0.111794758,1307997,1286438,No
Rob Jarvis,Male,White,OH,15,OH-15,Democrat,Challenger,36.4,0,,,,,,-7,39.9,55.3,0.111794758,2500,2500,No
Steve Stivers,Male,White,OH,15,OH-15,Republican,Incumbent,100,1,,,58.33,,1,-7,39.9,55.3,0.111794758,4084333,4727227,Yes
Aaron Godfrey,Male,White,OH,16,OH-16,Democrat,Open,7.9,0,,,,,,-8,39.5,56.2,0.122889217,9788,9140,No
Grant Goodrich,Male,White,OH,16,OH-16,Democrat,Open,28,0,,,,,,-8,39.5,56.2,0.122889217,147308,204176,No
John Wilson,Male,White,OH,16,OH-16,Democrat,Open,4.5,0,,,,,,-8,39.5,56.2,0.122889217,2500,2500,No
Mark Dent,Male,White,OH,16,OH-16,Democrat,Open,9.4,0,,,,,,-8,39.5,56.2,0.122889217,2500,2500,No
Susan Moran Palmer,Female,White,OH,16,OH-16,Democrat,Open,34.6,1,,,43.27,,0,-8,39.5,56.2,0.122889217,367275,367275,No
TJ Mulloy,Male,White,OH,16,OH-16,Democrat,Open,15.6,0,,,,,,-8,39.5,56.2,0.122889217,32220,32220,No
Anthony Gonzalez,Male,Non-white,OH,16,OH-16,Republican,Open,53.1,1,,,56.73,,1,-8,39.5,56.2,0.122889217,1922316,1792650,No
Christina Hagan,Female,White,OH,16,OH-16,Republican,Open,40.8,0,,,,,,-8,39.5,56.2,0.122889217,361589,360583,Yes
Michael Grusenmeyer,Male,White,OH,16,OH-16,Republican,Open,6.1,0,,,,,,-8,39.5,56.2,0.122889217,2500,2500,No
Gwendolyn Fields,Female,Non-white,OK,1,OK-1,Democrat,Open,19.62,0,,,,,,-17,32.7,61.4,0.141644033,2500,2500,No
Amanda Douglas,Female,Non-white,OK,1,OK-1,Democrat,Open,32.41,Runoff,40.62,0,,,,-17,32.7,61.4,0.141644033,11474,11233,No
David Matthew Hullum,Male,White,OK,1,OK-1,Democrat,Open,5.02,0,,,,,,-17,32.7,61.4,0.141644033,2500,2500,No
Mark A. Keeter,Male,White,OK,1,OK-1,Democrat,Open,8.46,0,,,,,,-17,32.7,61.4,0.141644033,2500,2500,No
Tim Gilpin,Male,White,OK,1,OK-1,Democrat,Open,34.38,Runoff,59.38,1,40.7,,0,-17,32.7,61.4,0.141644033,388955,384684,No
Andy Coleman,Male,White,OK,1,OK-1,Republican,Open,21.85,0,,,,,,-17,32.7,61.4,0.141644033,362589,341944,No
Danny Stockstill,Male,White,OK,1,OK-1,Republican,Open,7.83,0,,,,,,-17,32.7,61.4,0.141644033,32192,26332,No
Kevin Hern,Male,White,OK,1,OK-1,Republican,Open,22.68,Runoff,54.93,1,59.3,,1,-17,32.7,61.4,0.141644033,2806062,2708060,No
Nathan Dahm,Male,White,OK,1,OK-1,Republican,Open,20.17,0,,,,,,-17,32.7,61.4,0.141644033,134893,133595,Yes
Tim Harris,Male,White,OK,1,OK-1,Republican,Open,27.48,Runoff,45.07,0,,,,-17,32.7,61.4,0.141644033,479812,469536,Yes
Elijah Mcintosh,Male,Non-white,OK,2,OK-2,Democrat,Challenger,19.02,0,,,,,,-24,22.8,72.9,0.062641086,31910,31420,No
Clay Padgett,Male,White,OK,2,OK-2,Democrat,Challenger,24.23,Runoff,43.15,0,,,,-24,22.8,72.9,0.062641086,100641,100641,No
Jason Nichols,Male,White,OK,2,OK-2,Democrat,Challenger,37.88,Runoff,56.85,1,30.1,,0,-24,22.8,72.9,0.062641086,136756,128522,Yes
Virginia Blue Jeans Jenner,Female,White,OK,2,OK-2,Democrat,Challenger,18.86,0,,,,,,-24,22.8,72.9,0.062641086,2500,2500,No
Markwayne Mullin,Male,Non-white,OK,2,OK-2,Republican,Incumbent,54.14,1,,,65.02,,1,-24,22.8,72.9,0.062641086,1559639,1652916,Yes
Brian Jackson,Male,White,OK,2,OK-2,Republican,Challenger,11.45,0,,,,,,-24,22.8,72.9,0.062641086,42515,43015,No
Jarrin Jackson,Male,White,OK,2,OK-2,Republican,Challenger,25.21,0,,,,,,-24,22.8,72.9,0.062641086,132199,132198,No
John Mccarthy,Male,White,OK,2,OK-2,Republican,Challenger,9.2,0,,,,,,-24,22.8,72.9,0.062641086,70482,70482,No
Frankie Robbins,Male,White,OK,3,OK-3,Democrat,Challenger,64.84,1,,,26.13,,0,-27,20.9,73.6,0.074815781,2500,2500,No
Murray Mark Thibodeaux,Male,White,OK,3,OK-3,Democrat,Challenger,35.16,0,,,,,,-27,20.9,73.6,0.074815781,2500,2500,No
Frank Lucas,Male,White,OK,3,OK-3,Republican,Incumbent,100,1,,,73.87,,1,-27,20.9,73.6,0.074815781,1078374,1003756,Yes
Fred Gipson,Male,White,OK,4,OK-4,Democrat,Challenger,30.36,Runoff,42.49,0,,,,-20,28.3,65.7,0.101935833,42363,42615,Yes
Mallory Varner,Female,White,OK,4,OK-4,Democrat,Challenger,18.61,0,,,,,,-20,28.3,65.7,0.101935833,2500,2500,No
Mary Brannon,Female,White,OK,4,OK-4,Democrat,Challenger,34.36,Runoff,57.51,1,33,,0,-20,28.3,65.7,0.101935833,7624,2396,No
Roxann Klutts,Female,White,OK,4,OK-4,Democrat,Challenger,16.67,0,,,,,,-20,28.3,65.7,0.101935833,2500,2500,No
James Taylor,Male,Non-white,OK,4,OK-4,Republican,Challenger,35.26,0,,,,,,-20,28.3,65.7,0.101935833,4111,6124,No
Tom Cole,Male,Non-white,OK,4,OK-4,Republican,Incumbent,64.74,1,,,63.06,,1,-20,28.3,65.7,0.101935833,1951347,1957842,Yes
Ed Porter,Male,White,OK,5,OK-5,Democrat,Challenger,10.63,0,,,,,,-10,39.8,53.2,0.172393653,19905,19905,No
Elysabeth Britt,Female,White,OK,5,OK-5,Democrat,Challenger,13.51,0,,,,,,-10,39.8,53.2,0.172393653,2500,2500,No
Kendra Horn,Female,White,OK,5,OK-5,Democrat,Challenger,43.84,Runoff,75.81,1,50.7,,1,-10,39.8,53.2,0.172393653,1189551,1135711,No
Tom Guild,Male,White,OK,5,OK-5,Democrat,Challenger,17.91,Runoff,24.19,0,,,,-10,39.8,53.2,0.172393653,93703,93703,No
Tyson Todd Meade,Male,White,OK,5,OK-5,Democrat,Challenger,5.69,0,,,,,,-10,39.8,53.2,0.172393653,2500,2500,No
Leona Kelley-Leonard,Female,,OK,5,OK-5,Democrat,Challenger,8.42,0,,,,,,-10,39.8,53.2,0.172393653,2500,2500,No
Steve Russell,Male,White,OK,5,OK-5,Republican,Incumbent,83.62,1,,,49.3,,0,-10,39.8,53.2,0.172393653,949887,684257,Yes
Dejuan Edwards,Male,,OK,5,OK-5,Republican,Challenger,6.7,0,,,,,,-10,39.8,53.2,0.172393653,2500,2500,No
Gregory Dunson,Male,,OK,5,OK-5,Republican,Challenger,9.68,0,,,,,,-10,39.8,53.2,0.172393653,2500,2500,No
Michael E. Stansfield,Male,White,OR,1,OR-1,Democrat,Challenger,3.86,0,,,,,,9,57.3,34.5,0.178533694,2500,2500,No
Suzanne Bonamici,Female,White,OR,1,OR-1,Democrat,Incumbent,91.72,1,,,63.7,,1,9,57.3,34.5,0.178533694,1031598,697851,Yes
Ricky Barajas,Male,,OR,1,OR-1,Democrat,Challenger,3.87,0,,,,,,9,57.3,34.5,0.178533694,2500,2500,No
